Date,State,Disaster Type,Severity,Deaths,Injuries,Economic Loss (Crore ₹),Month_Total
2015-03-15,Maharashtra,Drought,4,10,54,183.5,7
2015-03-15,Manipur,Forest Fire,5,21,49,102.4,7
2015-03-15,Meghalaya,Cyclone,8,0,104,117.3,7
2015-03-15,Mizoram,Drought,8,3,0,159.8,7
2015-03-15,Nagaland,Flood,9,14,87,88.7,7
2015-03-15,Odisha,Heatwave,7,22,81,217.4,7
2015-03-15,Punjab,Landslide,7,6,1,60.9,7
2015-03-15,Rajasthan,Drought,9,11,56,131.7,7
2015-03-15,Sikkim,Landslide,5,19,86,155.2,7
2015-03-15,Tamil Nadu,Cyclone,9,26,58,101.9,7
2015-03-15,Telangana,Earthquake,3,9,74,62.4,7
2015-03-15,Tripura,Forest Fire,6,17,4,127.5,7
2015-03-15,Uttar Pradesh,Forest Fire,4,11,13,143.0,7
2015-03-15,Uttarakhand,Earthquake,7,11,18,63.6,7
2015-03-15,West Bengal,Earthquake,7,3,17,148.4,7
2015-04-15,Andhra Pradesh,Flood,9,14,47,313.8,6
2015-04-15,Arunachal Pradesh,Drought,7,17,11,72.1,6
2015-04-15,Assam,Landslide,7,11,100,189.8,6
2015-04-15,Bihar,Cyclone,6,19,37,180.3,6
2015-04-15,Chhattisgarh,Cyclone,3,12,51,94.0,6
2015-04-15,Goa,Flood,4,19,9,63.8,6
2015-04-15,Gujarat,Landslide,9,8,0,83.8,6
2015-04-15,Haryana,Drought,3,5,35,98.8,6
2015-04-15,Himachal Pradesh,Drought,9,11,48,146.9,6
2015-04-15,Jharkhand,Heatwave,7,7,29,118.8,6
2015-04-15,Karnataka,Earthquake,8,12,29,254.2,6
2015-04-15,Kerala,Flood,9,1,0,84.3,6
2015-04-15,Madhya Pradesh,Landslide,7,17,65,142.8,6
2015-04-15,Maharashtra,Flood,9,5,61,94.3,6
2015-04-15,Manipur,Flood,9,2,0,142.1,6
2015-04-15,Meghalaya,Flood,8,8,21,107.0,6
2015-04-15,Mizoram,Heatwave,3,20,20,264.2,6
2015-04-15,Nagaland,Drought,4,19,100,69.9,6
2015-04-15,Odisha,Landslide,4,4,4,235.5,6
2015-04-15,Punjab,Earthquake,7,12,104,7.4,6
2015-04-15,Rajasthan,Drought,3,13,100,11.6,6
2015-04-15,Sikkim,Forest Fire,9,9,59,125.3,6
2015-04-15,Tamil Nadu,Heatwave,9,14,60,0.3,6
2015-04-15,Telangana,Flood,6,0,50,63.5,6
2015-04-15,Tripura,Cyclone,7,3,37,64.4,6
2015-04-15,Uttar Pradesh,Drought,8,13,90,197.0,6
2015-04-15,Uttarakhand,Cyclone,7,0,16,156.8,6
2015-04-15,West Bengal,Cyclone,7,7,46,103.8,6
2015-05-15,Andhra Pradesh,Landslide,9,7,101,146.1,2
2015-05-15,Arunachal Pradesh,Cyclone,7,24,11,98.9,2
2015-05-15,Assam,Forest Fire,8,20,62,207.7,2
2015-05-15,Bihar,Cyclone,9,0,33,113.1,2
2015-05-15,Chhattisgarh,Flood,5,25,4,193.3,2
2015-05-15,Goa,Cyclone,3,11,74,100.2,2
2015-05-15,Gujarat,Cyclone,6,11,61,94.9,2
2015-05-15,Haryana,Cyclone,3,12,0,252.7,2
2015-05-15,Himachal Pradesh,Forest Fire,9,12,77,179.1,2
2015-05-15,Jharkhand,Earthquake,7,0,35,99.6,2
2015-05-15,Karnataka,Drought,3,22,52,12.8,2
2015-05-15,Kerala,Cyclone,9,12,46,141.4,2
2015-05-15,Madhya Pradesh,Landslide,6,25,54,77.2,2
2015-05-15,Maharashtra,Heatwave,7,5,47,72.8,2
2015-05-15,Manipur,Flood,6,12,116,115.9,2
2015-05-15,Meghalaya,Drought,6,4,0,123.3,2
2015-05-15,Mizoram,Cyclone,3,0,55,263.6,2
2015-05-15,Nagaland,Landslide,5,2,105,83.9,2
2015-05-15,Odisha,Landslide,3,9,34,79.4,2
2015-05-15,Punjab,Drought,5,7,3,158.4,2
2015-05-15,Rajasthan,Flood,3,11,37,82.0,2
2015-05-15,Sikkim,Flood,7,10,81,142.2,2
2015-05-15,Tamil Nadu,Flood,3,2,28,168.1,2
2015-05-15,Telangana,Cyclone,6,21,0,172.0,2
2015-05-15,Tripura,Landslide,8,3,62,15.7,2
2015-05-15,Uttar Pradesh,Landslide,9,0,66,114.6,2
2015-05-15,Uttarakhand,Cyclone,7,14,118,203.4,2
2015-05-15,West Bengal,Heatwave,7,13,72,120.3,2
2015-06-15,Andhra Pradesh,Flood,4,14,66,63.3,3
2015-06-15,Arunachal Pradesh,Forest Fire,4,9,72,16.9,3
2015-06-15,Assam,Forest Fire,9,0,22,140.7,3
2015-06-15,Bihar,Forest Fire,4,13,82,78.1,3
2015-06-15,Chhattisgarh,Earthquake,4,0,62,127.2,3
2015-06-15,Goa,Flood,6,7,0,174.4,3
2015-06-15,Gujarat,Heatwave,7,9,17,173.1,3
2015-06-15,Haryana,Forest Fire,3,16,14,19.9,3
2015-06-15,Himachal Pradesh,Cyclone,6,18,69,112.8,3
2015-06-15,Jharkhand,Landslide,3,32,91,98.9,3
2015-06-15,Karnataka,Cyclone,5,24,40,187.7,3
2015-06-15,Kerala,Heatwave,7,12,61,1.3,3
2015-06-15,Madhya Pradesh,Forest Fire,4,3,41,210.9,3
2015-06-15,Maharashtra,Landslide,8,12,80,116.3,3
2015-06-15,Manipur,Cyclone,9,14,8,123.6,3
2015-06-15,Meghalaya,Drought,7,14,1,148.0,3
2015-06-15,Mizoram,Earthquake,4,4,100,4.1,3
2015-06-15,Nagaland,Earthquake,5,12,115,153.7,3
2015-06-15,Odisha,Flood,4,13,83,34.5,3
2015-06-15,Punjab,Forest Fire,3,18,64,54.3,3
2015-06-15,Rajasthan,Heatwave,7,25,71,79.3,3
2015-06-15,Sikkim,Cyclone,3,7,105,234.9,3
2015-06-15,Tamil Nadu,Landslide,7,14,49,45.1,3
2015-06-15,Telangana,Landslide,4,15,45,132.8,3
2015-06-15,Tripura,Earthquake,5,20,36,90.1,3
2015-06-15,Uttar Pradesh,Earthquake,9,7,74,43.8,3
2015-06-15,Uttarakhand,Earthquake,6,1,0,140.2,3
2015-06-15,West Bengal,Cyclone,5,4,0,43.7,3
2015-07-15,Andhra Pradesh,Drought,8,11,17,28.7,3
2015-07-15,Arunachal Pradesh,Cyclone,7,0,40,196.0,3
2015-07-15,Assam,Drought,9,25,39,113.9,3
2015-07-15,Bihar,Cyclone,7,19,0,56.4,3
2015-07-15,Chhattisgarh,Landslide,7,0,126,93.9,3
2015-07-15,Goa,Cyclone,7,7,42,138.5,3
2015-07-15,Gujarat,Drought,7,22,81,129.5,3
2015-07-15,Haryana,Earthquake,5,21,101,168.8,3
2015-07-15,Himachal Pradesh,Drought,7,7,69,69.9,3
2015-07-15,Jharkhand,Flood,3,1,93,62.7,3
2015-07-15,Karnataka,Earthquake,9,0,30,21.7,3
2015-07-15,Kerala,Drought,7,20,4,189.3,3
2015-07-15,Madhya Pradesh,Cyclone,7,8,88,151.7,3
2015-07-15,Maharashtra,Forest Fire,4,19,44,68.9,3
2015-07-15,Manipur,Earthquake,4,0,0,76.9,3
2015-07-15,Meghalaya,Earthquake,3,5,0,105.4,3
2015-07-15,Mizoram,Earthquake,6,21,92,54.1,3
2015-07-15,Nagaland,Flood,9,7,37,93.8,3
2015-07-15,Odisha,Flood,5,5,100,103.7,3
2015-07-15,Punjab,Earthquake,5,12,0,147.5,3
2015-07-15,Rajasthan,Forest Fire,8,11,86,286.3,3
2015-07-15,Sikkim,Earthquake,6,2,13,105.0,3
2015-07-15,Tamil Nadu,Earthquake,9,12,22,118.2,3
2015-07-15,Telangana,Landslide,3,0,42,62.0,3
2015-07-15,Tripura,Earthquake,5,15,48,20.9,3
2015-07-15,Uttar Pradesh,Forest Fire,9,9,118,110.7,3
2015-07-15,Uttarakhand,Landslide,9,9,47,2.8,3
2015-07-15,West Bengal,Landslide,7,15,3,62.6,3
2015-08-15,Andhra Pradesh,Forest Fire,7,10,62,39.8,2
2015-08-15,Arunachal Pradesh,Drought,4,6,13,55.9,2
2015-08-15,Assam,Heatwave,7,11,51,53.8,2
2015-08-15,Bihar,Drought,5,6,50,224.1,2
2015-08-15,Chhattisgarh,Flood,9,0,41,260.1,2
2015-08-15,Goa,Cyclone,5,0,69,133.8,2
2015-08-15,Gujarat,Forest Fire,7,16,87,78.3,2
2015-08-15,Haryana,Landslide,8,7,115,93.6,2
2015-08-15,Himachal Pradesh,Drought,9,2,25,27.1,2
2015-08-15,Jharkhand,Drought,6,8,77,108.3,2
2015-08-15,Karnataka,Flood,8,16,27,175.3,2
2015-08-15,Kerala,Heatwave,7,0,16,69.7,2
2015-08-15,Madhya Pradesh,Forest Fire,7,11,94,238.1,2
2015-08-15,Maharashtra,Heatwave,8,8,48,157.2,2
2015-08-15,Manipur,Flood,6,12,54,48.3,2
2015-08-15,Meghalaya,Landslide,8,2,55,134.0,2
2015-08-15,Mizoram,Earthquake,3,5,44,79.2,2
2015-08-15,Nagaland,Forest Fire,3,13,27,161.2,2
2015-08-15,Odisha,Heatwave,5,19,58,136.4,2
2015-08-15,Punjab,Flood,6,17,80,91.1,2
2015-08-15,Rajasthan,Flood,8,4,18,218.3,2
2015-08-15,Sikkim,Landslide,8,19,0,102.3,2
2015-08-15,Tamil Nadu,Heatwave,5,10,0,189.2,2
2015-08-15,Telangana,Drought,8,8,26,217.1,2
2015-08-15,Tripura,Landslide,8,9,0,63.7,2
2015-08-15,Uttar Pradesh,Landslide,4,12,40,95.6,2
2015-08-15,Uttarakhand,Cyclone,5,19,13,16.3,2
2015-08-15,West Bengal,Cyclone,5,7,109,46.7,2
2015-09-15,Andhra Pradesh,Drought,3,1,49,34.4,8
2015-09-15,Arunachal Pradesh,Forest Fire,7,11,92,87.2,8
2015-09-15,Assam,Cyclone,5,5,115,126.2,8
2015-09-15,Bihar,Flood,3,5,5,51.6,8
2015-09-15,Chhattisgarh,Heatwave,9,1,8,268.6,8
2015-09-15,Goa,Cyclone,5,16,113,8.6,8
2015-09-15,Gujarat,Earthquake,9,11,48,59.6,8
2015-09-15,Haryana,Earthquake,6,12,59,2.2,8
2015-09-15,Himachal Pradesh,Landslide,3,13,95,108.8,8
2015-09-15,Jharkhand,Drought,7,25,0,96.1,8
2015-09-15,Karnataka,Forest Fire,5,7,54,134.4,8
2015-09-15,Kerala,Cyclone,8,8,68,131.3,8
2015-09-15,Madhya Pradesh,Earthquake,6,0,35,138.0,8
2015-09-15,Maharashtra,Flood,3,16,0,44.2,8
2015-09-15,Manipur,Drought,7,19,48,84.4,8
2015-09-15,Meghalaya,Cyclone,5,7,24,23.3,8
2015-09-15,Mizoram,Flood,7,15,49,214.2,8
2015-09-15,Nagaland,Drought,9,6,84,136.7,8
2015-09-15,Odisha,Heatwave,8,20,55,212.2,8
2015-09-15,Punjab,Cyclone,5,10,0,112.2,8
2015-09-15,Rajasthan,Drought,3,10,59,47.9,8
2015-09-15,Sikkim,Forest Fire,3,5,46,73.4,8
2015-09-15,Tamil Nadu,Forest Fire,9,12,4,102.1,8
2015-09-15,Telangana,Drought,3,5,24,2.9,8
2015-09-15,Tripura,Heatwave,9,15,22,80.0,8
2015-09-15,Uttar Pradesh,Landslide,3,9,89,79.2,8
2015-09-15,Uttarakhand,Cyclone,6,11,31,69.3,8
2015-09-15,West Bengal,Earthquake,4,17,143,126.5,8
2015-10-15,Andhra Pradesh,Earthquake,4,10,72,276.3,3
2015-10-15,Arunachal Pradesh,Cyclone,7,0,104,224.9,3
2015-10-15,Assam,Forest Fire,5,13,122,161.6,3
2015-10-15,Bihar,Cyclone,8,9,62,108.5,3
2015-10-15,Chhattisgarh,Forest Fire,3,21,43,5.9,3
2015-10-15,Goa,Drought,4,8,94,223.2,3
2015-10-15,Gujarat,Cyclone,4,0,61,93.7,3
2015-10-15,Haryana,Heatwave,4,10,66,132.9,3
2015-10-15,Himachal Pradesh,Drought,3,6,120,190.6,3
2015-10-15,Jharkhand,Cyclone,4,14,41,111.2,3
2015-10-15,Karnataka,Heatwave,6,12,115,37.8,3
2015-10-15,Kerala,Earthquake,4,4,40,77.5,3
2015-10-15,Madhya Pradesh,Cyclone,5,15,70,79.2,3
2015-10-15,Maharashtra,Earthquake,6,1,42,79.7,3
2015-10-15,Manipur,Cyclone,9,5,88,217.1,3
2015-10-15,Meghalaya,Earthquake,3,3,36,2.0,3
2015-10-15,Mizoram,Heatwave,7,11,54,114.7,3
2015-10-15,Nagaland,Flood,9,22,87,96.2,3
2015-10-15,Odisha,Drought,4,12,11,83.8,3
2015-10-15,Punjab,Cyclone,4,0,0,181.5,3
2015-10-15,Rajasthan,Drought,4,0,132,114.8,3
2015-10-15,Sikkim,Drought,8,8,79,134.7,3
2015-10-15,Tamil Nadu,Earthquake,3,0,118,133.6,3
2015-10-15,Telangana,Heatwave,5,17,0,41.8,3
2015-10-15,Tripura,Forest Fire,7,11,28,154.6,3
2015-10-15,Uttar Pradesh,Forest Fire,6,0,0,148.2,3
2015-10-15,Uttarakhand,Heatwave,6,22,35,268.6,3
2015-10-15,West Bengal,Heatwave,5,6,0,114.5,3
2015-11-15,Andhra Pradesh,Forest Fire,9,21,44,44.2,4
2015-11-15,Arunachal Pradesh,Landslide,3,18,139,212.6,4
2015-11-15,Assam,Landslide,7,0,102,207.2,4
2015-11-15,Bihar,Heatwave,6,3,11,215.0,4
2015-11-15,Chhattisgarh,Heatwave,6,15,6,91.2,4
2015-11-15,Goa,Drought,5,0,59,163.3,4
2015-11-15,Gujarat,Flood,5,19,171,23.3,4
2015-11-15,Haryana,Cyclone,5,21,58,26.8,4
2015-11-15,Himachal Pradesh,Cyclone,4,5,71,15.2,4
2015-11-15,Jharkhand,Heatwave,5,17,51,36.0,4
2015-11-15,Karnataka,Earthquake,8,14,99,117.7,4
2015-11-15,Kerala,Forest Fire,4,8,56,18.7,4
2015-11-15,Madhya Pradesh,Cyclone,7,0,68,50.5,4
2015-11-15,Maharashtra,Drought,5,1,68,2.8,4
2015-11-15,Manipur,Earthquake,4,14,76,152.6,4
2015-11-15,Meghalaya,Flood,4,20,23,82.7,4
2015-11-15,Mizoram,Heatwave,3,5,106,9.9,4
2015-11-15,Nagaland,Landslide,9,10,49,142.0,4
2015-11-15,Odisha,Earthquake,6,2,0,193.5,4
2015-11-15,Punjab,Flood,9,20,73,128.8,4
2015-11-15,Rajasthan,Flood,8,14,9,64.3,4
2015-11-15,Sikkim,Drought,8,2,84,4.1,4
2015-11-15,Tamil Nadu,Landslide,5,9,59,200.0,4
2015-11-15,Telangana,Heatwave,8,27,25,108.9,4
2015-11-15,Tripura,Heatwave,6,15,34,136.8,4
2015-11-15,Uttar Pradesh,Heatwave,8,16,48,64.8,4
2015-11-15,Uttarakhand,Forest Fire,9,15,11,240.3,4
2015-11-15,West Bengal,Forest Fire,9,19,49,14.8,4
2015-12-15,Andhra Pradesh,Drought,3,0,24,111.7,3
2015-12-15,Arunachal Pradesh,Drought,9,6,0,118.1,3
2015-12-15,Assam,Cyclone,4,1,16,109.6,3
2015-12-15,Bihar,Earthquake,8,10,56,51.2,3
2015-12-15,Chhattisgarh,Flood,4,1,23,108.3,3
2015-12-15,Goa,Flood,8,12,11,81.9,3
2015-12-15,Gujarat,Flood,8,23,113,22.3,3
2015-12-15,Haryana,Flood,6,16,34,128.4,3
2015-12-15,Himachal Pradesh,Heatwave,8,13,20,140.2,3
2015-12-15,Jharkhand,Drought,6,7,37,139.2,3
2015-12-15,Karnataka,Forest Fire,3,10,65,55.6,3
2015-12-15,Kerala,Forest Fire,3,24,15,117.6,3
2015-12-15,Madhya Pradesh,Forest Fire,3,20,60,63.7,3
2015-12-15,Maharashtra,Cyclone,6,4,90,199.5,3
2015-12-15,Manipur,Earthquake,9,3,7,90.9,3
2015-12-15,Meghalaya,Heatwave,5,0,84,73.1,3
2015-12-15,Mizoram,Earthquake,5,1,26,80.7,3
2015-12-15,Nagaland,Landslide,3,5,74,55.0,3
2015-12-15,Odisha,Flood,9,7,40,125.5,3
2015-12-15,Punjab,Cyclone,8,4,27,152.6,3
2015-12-15,Rajasthan,Drought,6,0,18,36.4,3
2015-12-15,Sikkim,Drought,7,3,32,134.3,3
2015-12-15,Tamil Nadu,Heatwave,4,21,49,105.4,3
2015-12-15,Telangana,Heatwave,5,6,43,31.0,3
2015-12-15,Tripura,Flood,3,18,35,108.8,3
2015-12-15,Uttar Pradesh,Heatwave,5,9,13,45.7,3
2015-12-15,Uttarakhand,Heatwave,3,13,66,120.3,3
2015-12-15,West Bengal,Forest Fire,9,0,118,75.8,3
2016-01-15,Andhra Pradesh,Flood,3,13,98,148.8,2
2016-01-15,Arunachal Pradesh,Drought,3,3,66,277.9,2
2016-01-15,Assam,Heatwave,5,10,9,71.4,2
2016-01-15,Bihar,Forest Fire,6,7,121,82.4,2
2016-01-15,Chhattisgarh,Cyclone,9,17,91,147.5,2
2016-01-15,Goa,Landslide,9,20,23,81.0,2
2016-01-15,Gujarat,Earthquake,4,21,1,160.6,2
2016-01-15,Haryana,Forest Fire,8,0,156,30.6,2
2016-01-15,Himachal Pradesh,Drought,6,12,58,134.4,2
2016-01-15,Jharkhand,Flood,9,18,95,40.1,2
2016-01-15,Karnataka,Cyclone,3,16,48,280.5,2
2016-01-15,Kerala,Flood,5,15,118,97.7,2
2016-01-15,Madhya Pradesh,Flood,3,1,29,135.2,2
2016-01-15,Maharashtra,Flood,5,12,81,181.6,2
2016-01-15,Manipur,Earthquake,5,0,37,262.3,2
2016-01-15,Meghalaya,Drought,9,6,84,13.0,2
2016-01-15,Mizoram,Landslide,8,7,87,130.6,2
2016-01-15,Nagaland,Landslide,6,11,123,115.9,2
2016-01-15,Odisha,Landslide,9,14,41,225.0,2
2016-01-15,Punjab,Forest Fire,5,22,44,222.9,2
2016-01-15,Rajasthan,Cyclone,5,3,86,121.8,2
2016-01-15,Sikkim,Flood,6,15,60,72.6,2
2016-01-15,Tamil Nadu,Heatwave,4,1,0,186.7,2
2016-01-15,Telangana,Forest Fire,4,17,47,173.8,2
2016-01-15,Tripura,Earthquake,8,10,113,121.9,2
2016-01-15,Uttar Pradesh,Heatwave,8,6,37,120.8,2
2016-01-15,Uttarakhand,Forest Fire,4,13,100,46.3,2
2016-01-15,West Bengal,Forest Fire,8,22,54,215.2,2
2016-02-15,Andhra Pradesh,Drought,6,20,113,126.8,2
2016-02-15,Arunachal Pradesh,Flood,9,12,28,173.4,2
2016-02-15,Assam,Earthquake,8,17,9,55.9,2
2016-02-15,Bihar,Landslide,3,17,36,94.6,2
2016-02-15,Chhattisgarh,Earthquake,9,6,74,38.4,2
2016-02-15,Goa,Flood,8,1,38,69.4,2
2016-02-15,Gujarat,Flood,8,10,79,29.3,2
2016-02-15,Haryana,Cyclone,8,10,39,203.0,2
2016-02-15,Himachal Pradesh,Cyclone,4,9,53,193.8,2
2016-02-15,Jharkhand,Landslide,3,15,15,161.1,2
2016-02-15,Karnataka,Forest Fire,7,17,81,61.6,2
2016-02-15,Kerala,Cyclone,4,0,73,61.5,2
2016-02-15,Madhya Pradesh,Earthquake,9,11,57,52.5,2
2016-02-15,Maharashtra,Heatwave,5,20,7,9.4,2
2016-02-15,Manipur,Earthquake,4,0,22,131.3,2
2016-02-15,Meghalaya,Forest Fire,4,18,103,97.0,2
2016-02-15,Mizoram,Cyclone,8,6,72,145.0,2
2016-02-15,Nagaland,Flood,3,6,109,149.6,2
2016-02-15,Odisha,Cyclone,8,9,98,218.8,2
2016-02-15,Punjab,Cyclone,5,7,123,142.4,2
2016-02-15,Rajasthan,Drought,6,5,135,251.9,2
2016-02-15,Sikkim,Cyclone,7,0,50,188.0,2
2016-02-15,Tamil Nadu,Earthquake,9,16,0,75.4,2
2016-02-15,Telangana,Flood,6,7,68,1.3,2
2016-02-15,Tripura,Drought,8,8,0,197.2,2
2016-02-15,Uttar Pradesh,Cyclone,7,13,17,60.4,2
2016-02-15,Uttarakhand,Drought,6,0,25,202.2,2
2016-02-15,West Bengal,Forest Fire,6,12,80,120.4,2
2016-03-15,Andhra Pradesh,Landslide,3,19,16,137.7,6
2016-03-15,Arunachal Pradesh,Landslide,9,0,84,204.7,6
2016-03-15,Assam,Earthquake,4,6,0,96.8,6
2016-03-15,Bihar,Flood,8,0,125,45.4,6
2016-03-15,Chhattisgarh,Earthquake,6,0,39,81.7,6
2016-03-15,Goa,Earthquake,6,16,83,187.0,6
2016-03-15,Gujarat,Heatwave,4,4,17,190.4,6
2016-03-15,Haryana,Cyclone,3,17,18,16.6,6
2016-03-15,Himachal Pradesh,Heatwave,9,5,57,17.2,6
2016-03-15,Jharkhand,Earthquake,8,11,122,119.7,6
2016-03-15,Karnataka,Drought,6,24,45,234.7,6
2016-03-15,Kerala,Drought,8,8,43,150.3,6
2016-03-15,Madhya Pradesh,Forest Fire,7,0,71,247.2,6
2016-03-15,Maharashtra,Landslide,4,12,42,108.6,6
2016-03-15,Manipur,Drought,9,0,17,130.9,6
2016-03-15,Meghalaya,Cyclone,9,12,14,163.7,6
2016-03-15,Mizoram,Forest Fire,8,9,62,28.1,6
2016-03-15,Nagaland,Heatwave,4,35,17,16.1,6
2016-03-15,Odisha,Earthquake,4,0,60,43.3,6
2016-03-15,Punjab,Earthquake,9,2,0,311.6,6
2016-03-15,Rajasthan,Drought,8,1,36,12.6,6
2016-03-15,Sikkim,Landslide,5,24,80,96.8,6
2016-03-15,Tamil Nadu,Landslide,6,20,92,10.5,6
2016-03-15,Telangana,Earthquake,8,10,108,169.6,6
2016-03-15,Tripura,Heatwave,7,22,60,216.2,6
2016-03-15,Uttar Pradesh,Flood,6,7,57,110.7,6
2016-03-15,Uttarakhand,Flood,8,1,116,64.4,6
2016-03-15,West Bengal,Earthquake,6,25,84,97.8,6
2016-04-15,Andhra Pradesh,Landslide,7,0,85,53.6,7
2016-04-15,Arunachal Pradesh,Flood,4,8,102,45.6,7
2016-04-15,Assam,Earthquake,4,13,64,47.1,7
2016-04-15,Bihar,Earthquake,3,20,88,145.0,7
2016-04-15,Chhattisgarh,Cyclone,8,2,162,19.4,7
2016-04-15,Goa,Heatwave,3,1,149,8.5,7
2016-04-15,Gujarat,Flood,5,9,0,271.4,7
2016-04-15,Haryana,Heatwave,3,0,56,63.4,7
2016-04-15,Himachal Pradesh,Landslide,7,3,36,34.0,7
2016-04-15,Jharkhand,Drought,4,21,0,53.5,7
2016-04-15,Karnataka,Earthquake,7,0,26,115.5,7
2016-04-15,Kerala,Forest Fire,3,11,126,28.7,7
2016-04-15,Madhya Pradesh,Forest Fire,8,6,16,235.5,7
2016-04-15,Maharashtra,Landslide,6,6,29,70.9,7
2016-04-15,Manipur,Drought,8,12,88,58.5,7
2016-04-15,Meghalaya,Heatwave,5,0,0,91.8,7
2016-04-15,Mizoram,Forest Fire,9,5,105,116.4,7
2016-04-15,Nagaland,Forest Fire,6,15,117,165.5,7
2016-04-15,Odisha,Earthquake,8,0,89,156.4,7
2016-04-15,Punjab,Flood,3,8,79,165.1,7
2016-04-15,Rajasthan,Earthquake,3,8,46,193.4,7
2016-04-15,Sikkim,Drought,3,0,15,33.9,7
2016-04-15,Tamil Nadu,Flood,5,10,26,104.7,7
2016-04-15,Telangana,Drought,6,21,4,41.8,7
2016-04-15,Tripura,Flood,5,0,88,119.7,7
2016-04-15,Uttar Pradesh,Landslide,7,13,0,198.8,7
